번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(?S/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
1,금본A,2018.11.01,9.7,8.1,188,12.1,0.5,2.9,0.9,3.314,0.017,1.6,3.996
2,금본B,2018.11.01,14.1,7.7,104,11.2,0.9,4.5,2.8,1.406,0.016,2.9,9.473
3,금본B1,2018.11.01,7.7,8.1,201,12.4,0.5,2.4,0.6,2.405,0.01,1.3,1.109
4,금본B2,2018.11.01,10.1,7.8,111,12.5,0.5,2.1,0.5,1.609,0.004,1.2,0.454
5,금본C,2018.11.01,12,8.3,125,10.6,0.7,3.8,1.8,1.475,0.015,2.3,6.571
6,금본C1,2018.11.01,12,8.3,125,10.6,0.6,2.3,0.6,2.106,0.022,1.4,3.287
7,금본D,2018.11.01,10.8,7.7,152,12.4,0.5,3.3,0.7,1.675,0.015,2.2,14.694
8,금본E,2018.11.01,11.3,7.7,169,13.7,0.7,3.3,0.5,1.778,0.007,1.9,16.906
9,금본F1,2018.11.01,14.5,7.6,108,13,0.5,1.5,0.1,1.785,0.013,1.5,0.088
10,금본F2,2018.11.01,10.4,8,352,12.1,0.9,3.1,1.6,3.981,0.053,2,0.839
11,보청A,2018.11.01,10.5,7.8,202,12.5,0.6,2.8,0.9,1.646,0.022,2,5.198
12,초강A,2018.11.01,10.5,8,193,12,0.5,2.9,0.6,2.157,0.014,2.1,2.445
13,초강A1,2018.11.01,7.8,7.7,160,13.2,0.5,2.1,1.2,1.748,0.012,1.6,0.206
14,갑천A,2018.11.05,16.1,7.8,606,10.7,1.9,7.3,2.5,8.006,0.086,5,9.335
15,금본G,2018.11.05,14.5,8.6,346,9.8,1.4,5.9,2.4,4.198,0.047,3.9,24.265
16,미호C,2018.11.05,13.3,7.9,627,11.3,1.5,6,2,5.766,0.061,4.3,18.277
17,금본H,2018.11.06,13.5,7.8,494,10.5,0.8,5.6,2.4,4.838,0.04,3.5,45.084
18,논산A,2018.11.06,12.6,7.7,325,12.1,3.6,6.5,9,4.011,0.104,4.3,3.636
19,논산A1,2018.11.12,11.6,7.9,101,11.4,0.5,1.9,0.4,1.822,0.007,1.1,3.063
20,논산A2,2018.11.12,11.9,7.4,180,10.5,0.5,2.2,3.5,2.577,0.04,1.4,0.366
21,논산A3,2018.11.12,12.2,7.4,234,12.2,0.6,2.9,1.4,2.862,0.07,1.9,0.455
22,금본A,2018.11.13,10.1,8.1,167,12.6,0.5,2.7,1,2.725,0.028,1.6,5.192
23,금본B,2018.11.13,13.6,7.6,110,10.2,0.6,3.9,1,1.433,0.011,2.4,10.333
24,금본B1,2018.11.13,7.7,7.8,172,12.6,0.5,2.1,1.1,1.965,0.019,1.4,1.315
25,금본B2,2018.11.13,10.3,7.7,117,11.6,0.5,1.8,0.7,1.882,0.005,1,1.011
26,금본C,2018.11.13,11.9,8.2,122,11.6,0.5,3.6,1.3,1.483,0.009,2.4,6.571
27,금본C1,2018.11.13,9.9,8.2,127,13.4,0.6,2.6,0.8,1.647,0.013,1.4,4.079
28,금본D,2018.11.13,11,8,146,11.4,0.6,3.3,1.8,1.773,0.037,2,17.412
29,금본E,2018.11.13,11.5,7.8,164,12.9,0.6,3.5,0.7,1.903,0.01,2,21.521
30,금본F1,2018.11.13,10.8,7.6,90,11.8,0.5,1.8,0.3,1.948,0.05,1.1,0.341
31,금본F2,2018.11.13,9.9,8.2,151,11.7,1.6,3.9,1.1,3.717,0.03,3.1,1.25
32,보청A,2018.11.13,11,7.6,191,12.8,0.6,2.9,2.3,2.329,0.022,1.8,6.481
33,초강A,2018.11.13,11.4,7.9,180,11.2,0.7,4.7,1.5,2.074,0.014,2.6,3.147
34,초강A1,2018.11.13,9.2,7.9,152,13.8,0.6,2.6,9.5,1.501,0.03,1.6,0.3
35,갑천A,2018.11.14,16.1,7.4,556,11.3,2.1,7.2,2.3,8.229,0.068,4.4,14.956
36,금본F,2018.11.14,15.9,7.7,141,7.4,0.8,5,2.8,1.725,0.025,3,12.423
37,금본G,2018.11.14,13.8,7.6,327,11,1.5,5.6,5.3,4.763,0.048,3.6,29.363
38,금본G-1,2018.11.14,14,7.4,338,10.7,1.3,5.7,3.8,3.974,0.041,3.4,24.668
39,금본G1,2018.11.14,9.6,7.8,214,12.3,0.6,2.8,5.3,1.748,0.037,1.4,0.16
40,금본G2,2018.11.14,14.6,7.7,354,13.4,1.6,4.1,22.5,2.429,0.062,2.5,0.45
41,무심A,2018.11.14,11.6,7.6,322,12.8,2.3,4.6,7.5,2.711,0.09,2.8,2.42
42,무심A1,2018.11.14,11.7,7.5,292,13,0.7,3.6,4,2.179,0.061,2,1.093
43,미호A,2018.11.14,11.5,7.9,500,11.6,1.4,4.9,5,3.608,0.07,2.8,4.489
44,미호A1,2018.11.14,10.2,7.2,650,10.2,3.5,6.5,12.8,4.414,0.13,3.8,0.805
45,미호A2,2018.11.14,10.5,7.7,515,14,1.2,4.2,2.6,4.763,0.106,2.6,0.528
46,미호B,2018.11.14,12.7,7.6,583,10.3,2.7,6.6,6.8,5.152,0.083,4.3,20.011
47,미호B1,2018.11.14,11.3,7.2,305,10.6,1,3.4,2.6,2.619,0.048,2.1,1.334
48,미호B2,2018.11.14,10.3,7.3,291,12,1.1,3.4,3.2,2.756,0.049,1.9,0.665
49,미호B3,2018.11.14,9.6,7.6,314,13,1.9,4.6,0.7,4.125,0.077,2.8,0.191
50,미호B4,2018.11.14,18.8,7.3,1690,7.9,4.5,6.7,4.9,9.248,0.038,4.7,1.603
51,미호C,2018.11.14,12.7,7.6,551,10.3,2.3,6.4,5.2,5.872,0.083,4,22.735
52,미호C1,2018.11.14,11.9,7.5,454,11.2,1.1,3.7,3.1,2.936,0.04,2.3,1.961
53,병천A,2018.11.14,9.4,7.4,364,11.2,1.6,5,2.7,3.379,0.082,3.1,3.024
54,유등A,2018.11.14,10.2,7.7,298,12.3,0.6,2.3,0.8,2.82,0.007,1.1,1.485
55,금본H,2018.11.15,12.5,7.8,459,10.5,0.9,5.4,3,4.684,0.058,3.5,45.016
56,금본H-1,2018.11.15,12.4,7.6,433,10.2,0.5,5.1,2.8,4.819,0.057,3.3,54.459
57,금본H1,2018.11.15,9.3,7.7,107,12.6,0.5,1.8,4.2,1.76,0.02,0.9,1.029
58,금본I,2018.11.15,12.2,7.7,358,11.1,0.8,5.2,3.2,3.733,0.05,3.4,60.81
59,금본J,2018.11.15,12.3,7.5,289,9.7,2.5,6.7,7.8,3.324,0.095,4.7,63.463
60,금본J1,2018.11.15,12,7.8,177,11.8,0.7,3.7,2.2,2.705,0.03,2.2,3.434
61,금본K,2018.11.15,12.4,7.6,356,9.7,1.5,5.8,6.4,3.871,0.065,3.8,77.893
62,금본K1,2018.11.15,9.9,7.7,272,12.2,0.7,3,2.5,3.481,0.094,2,0.459
63,금본L,2018.11.15,13,7.8,382,12.4,2,6.9,13.4,3.195,0.05,4.5,85.074
64,길산천2,2018.11.15,11.8,7.8,323,6.4,3.4,13.2,20,2.407,0.203,8.2,
65,논산A,2018.11.15,11.9,7.9,213,10.7,1.1,5.1,5.6,2.934,0.085,2.7,8.073
66,대교천2,2018.11.15,10.8,7.5,282,12,0.5,3.2,2.4,2.603,0.065,2.1,0.85
67,산북천,2018.11.15,12.6,7.5,393,3,9.1,17.6,21,7.272,0.383,10.6,
68,석성천2,2018.11.15,9.8,7.6,329,11.3,1,5.4,8.2,4.366,0.096,3.5,1.321
69,금본A,2018.11.19,7.7,8.4,201,14,0.6,2.6,0.9,2.939,0.019,1.4,4.067
70,금본B,2018.11.19,13.1,8,112,11.7,0.5,4.2,1.1,1.382,0.019,2.3,10.833
71,금본B1,2018.11.19,6.1,8.4,199,13.5,0.4,2,0.5,2.426,0.02,1,1.072
72,금본B2,2018.11.19,7.6,7.9,119,12.5,0.6,1.6,0.4,1.89,0.017,0.7,0.553
73,금본C,2018.11.19,9.9,8.5,124,12.6,0.8,3.6,1.2,1.437,0.017,2,6.571
74,금본C1,2018.11.19,8.4,8.5,154,13.1,0.5,2.6,0.8,2.2,0.021,1.2,3.093
75,금본D,2018.11.19,8.3,7.9,154,12.6,0.9,3.7,1.4,1.699,0.021,1.9,13.732
76,금본E,2018.11.19,8.9,7.8,162,13.7,0.5,3.1,0.7,1.717,0.018,1.6,17.639
77,금본F1,2018.11.19,9.2,7.8,104,12.7,0.4,1.4,0.1,1.891,0.021,1,0.138
78,금본F2,2018.11.19,9.2,8,331,13.2,0.5,1.7,0.8,4.479,0.023,1,1.229
79,보청A,2018.11.19,8.5,7.9,280,13.2,0.5,2.7,1.1,2.208,0.024,1.3,3.578
80,초강A,2018.11.19,8.2,8,189,12.5,0.7,3,1.1,1.742,0.019,1.7,2.04
81,초강A1,2018.11.19,6.6,8.1,153,13.8,0.6,2.1,4.5,1.506,0.021,1.1,0.168
82,갑천A,2018.11.20,14.4,7.2,553,12.6,2,7.2,3.7,8.144,0.058,4.9,13.495
83,금본F,2018.11.20,15.4,8.3,144,6.5,0.9,4.7,2.1,1.51,0.021,2.7,12.602
84,금본G,2018.11.20,12.4,8,362,11.1,1.1,5.8,3.7,4.512,0.053,3.9,27.943
85,금본G-1,2018.11.20,13.2,8.2,350,11.9,1.1,5.5,3.4,4.022,0.056,3.6,22.736
86,금본G1,2018.11.20,7.2,8.5,226,12.7,0.6,3.9,26,1.845,0.096,2.3,0.177
87,금본G2,2018.11.20,10.9,8,355,12.9,1.2,3.5,38.5,2.265,0.062,2.3,0.391
88,무심A,2018.11.20,9.9,7.6,343,13.2,2.4,4.8,4.6,2.379,0.084,3.3,2.107
89,무심A1,2018.11.20,10.3,7.9,322,12.6,1.1,3.1,2.4,2.121,0.063,1.6,1.018
90,미호A,2018.11.20,8.5,8,544,11.8,1.1,4.3,2.4,3.233,0.048,2.4,4.264
91,미호A1,2018.11.20,8.2,7.8,627,12,2.2,5.4,7.2,4.675,0.083,3.4,0.607
92,미호A2,2018.11.20,7.5,7.9,514,14.2,1,3.7,2.9,4.845,0.083,2.3,0.464
93,미호B,2018.11.20,10.9,7.6,638,10.7,2.1,6.4,5.3,5.966,0.064,4.3,17.963
94,미호B1,2018.11.20,9.4,7.4,330,11.1,0.7,3.2,2.2,2.429,0.076,1.9,0.953
95,미호B2,2018.11.20,8.5,7.8,304,12,2,4.7,7.4,2.983,0.143,2.6,0.637
96,미호B3,2018.11.20,6.5,7.9,309,14,0.8,4.2,0.9,3.64,0.107,2.5,0.131
97,미호B4,2018.11.20,17.4,7.4,1736,8,3.6,5.7,5.3,8.064,0.054,4.4,1.764
98,미호C,2018.11.20,11.2,7.7,597,11.6,1.3,6.1,3.3,5.101,0.057,3.8,21.521
99,미호C1,2018.11.20,10.5,7.7,496,12.3,0.9,3.8,3.2,3.181,0.053,2.2,1.391
100,병천A,2018.11.20,7.4,7.5,395,11.5,1.4,4.7,2.1,3.675,0.075,2.8,2.325
101,유등A,2018.11.20,8.6,7.9,319,13,0.5,2.5,0.5,2.13,0.043,0.9,1.003
102,금본H,2018.11.21,10.2,8.5,498,11.4,0.8,5.7,3.8,5.002,0.044,3.9,50.877
103,금본H-1,2018.11.21,10.4,8,469,11.8,0.8,5.2,2.4,4.654,0.067,3.5,51.666
104,금본H1,2018.11.21,7.2,8,180,11.6,0.4,2,3.6,1.81,0.066,1.2,0.758
105,금본I,2018.11.21,10.4,8.3,417,13.6,1,4.6,2.8,3.927,0.085,3.2,49.267
106,금본J,2018.11.21,10.8,8.2,418,14.1,1.5,5.4,6,4.255,0.047,3.7,54.916
107,금본J1,2018.11.21,8,7.8,197,12.5,0.4,2.5,2.9,2.66,0.056,1.5,2.456
108,금본K,2018.11.21,10.8,7.9,287,12.6,3.2,6.5,9.8,3.058,0.094,4.5,68.89
109,금본K1,2018.11.21,6.9,8,298,13.5,0.5,3.2,1.6,3.015,0.121,1.8,0.398
110,금본L,2018.11.21,11.5,7.8,374,12.3,2,6.4,8.6,3.311,0.088,4,74.758
111,길산천2,2018.11.21,10,7.8,376,11.4,3.3,9.4,12,2.594,0.13,6.2,
112,논산A,2018.11.21,9.6,7.8,224,11.4,0.9,4.3,7.5,3.452,0.097,2.6,8.875
113,대교천2,2018.11.21,9,7.5,307,11.1,0.4,2.9,1.3,2.361,0.07,1.8,0.789
114,산북천,2018.11.21,9.7,7.9,408,8.2,4.4,8.9,19.4,5.526,0.247,6.1,
115,석성천2,2018.11.21,7.8,7.8,353,13.3,1.4,5.3,4.3,4.35,0.194,3.7,1.227
116,논산A1,2018.11.22,7.8,8,131,13,0.4,1.5,0.2,1.956,0.053,0.8,0.56
117,논산A2,2018.11.22,9.3,7.3,193,11.7,0.4,2.1,6,2.92,0.057,1.2,0.266
118,논산A3,2018.11.22,8.1,7.3,242,13.8,0.4,2.2,0.6,3.302,0.065,1.2,0.477
119,갑천A,2018.11.26,13.5,7.4,609,11.3,2.1,8.6,2.7,8.113,0.11,5.7,12.744
120,금본F,2018.11.26,14.6,7.5,138,8.1,0.7,4.9,3,1.483,0.02,3,12.589
121,금본G,2018.11.26,11.1,7.6,368,10.7,2.1,6.6,3.9,4.33,0.082,4,27.03
122,금본G-1,2018.11.26,11.2,7.5,345,10.1,2.1,5.7,3.1,4.257,0.063,3.6,23.675
123,금본G1,2018.11.26,7,7.8,232,13.1,0.4,2.6,6.9,1.9,0.043,1.7,0.144
124,금본G2,2018.11.26,11,8,547,12.4,2.1,5.8,14.6,2.741,0.077,3.7,0.369
125,무심A,2018.11.26,8.7,7.6,346,14,1.7,4.5,3.4,2.285,0.078,2.8,2.209
126,무심A1,2018.11.26,8.5,7.8,280,13.5,0.5,3.5,2,2.434,0.058,1.9,0.828
127,미호A,2018.11.26,7.8,7.7,527,13,1,4.6,3.4,3.873,0.061,2.7,4.264
128,미호A1,2018.11.26,7.2,7.8,548,12,2.2,5.9,3.8,6.135,0.114,3.5,0.662
129,미호A2,2018.11.26,6.7,7.6,476,16.2,1.1,4.2,2.6,5.924,0.085,2.8,0.474
130,미호B,2018.11.26,9.9,7.7,662,12.2,3.4,7.2,5.7,5.806,0.066,4.8,18.04
131,미호B1,2018.11.26,8.7,7.4,337,11.9,0.7,3.5,2.7,2.882,0.052,2.2,1.203
132,미호B2,2018.11.26,7.8,8.1,315,12.5,1.1,4.1,6,3.028,0.061,2.3,0.623
133,미호B3,2018.11.26,7.3,8.2,314,10,0.6,3.7,0.5,3.673,0.066,2.1,0.139
134,미호B4,2018.11.26,16.5,7.5,1539,8.2,3.6,5.9,4,9.917,0.038,4.2,1.618
135,미호C,2018.11.26,9.8,7.6,604,12,1.2,6.5,2.8,4.886,0.066,3.8,20.075
136,미호C1,2018.11.26,9.9,7.6,504,12.8,0.6,4,2,3.66,0.042,2.2,1.469
137,병천A,2018.11.26,7.1,7.5,403,12.6,1.8,5.4,3,3.765,0.102,3.1,1.954
138,유등A,2018.11.26,7.9,7.8,335,12.9,0.4,1.9,0.6,2.209,0.03,0.9,0.991
139,금본H,2018.11.27,9.4,7.8,500,13.6,1.4,5.2,5.8,5.113,0.069,3.9,48.205
140,금본H-1,2018.11.27,9.7,7.6,468,12.4,1.2,5.5,3,4.445,0.053,3.6,48.986
141,금본H1,2018.11.27,6.4,7.8,191,13.6,0.4,1.9,1.7,1.681,0.024,1.1,0.728
142,금본I,2018.11.27,8.7,7.9,454,14.4,1,5.4,3,4.147,0.042,3.5,54.359
143,금본J,2018.11.27,8.4,8,422,14.6,1.3,5.8,5,4.099,0.035,3.5,54.403
144,금본J1,2018.11.27,8.7,7.7,235,12.5,0.5,2.9,2.4,2.483,0.025,2.1,2.103
145,금본K,2018.11.27,9.1,8,398,14.5,2.9,6.4,10.3,3.656,0.066,4,63.687
146,금본K1,2018.11.27,6.6,8,291,14.1,0.6,3,2.1,2.747,0.066,1.9,0.482
147,금본L,2018.11.27,9.6,7.7,363,12.3,2.3,6.8,6.6,3.204,0.074,4,69.186
148,길산천2,2018.11.27,7.6,7.8,312,12.3,1.4,5.1,8.6,2.519,0.081,3.2,
149,논산A,2018.11.27,8,8,380,12.2,1.8,5.3,9.3,4.868,0.142,2.9,4.49
150,대교천2,2018.11.27,8.6,7.5,315,13.1,0.9,2.9,1.5,2.264,0.051,2,0.781
151,산북천,2018.11.27,8.7,8.1,450,10.9,5,9.2,17.1,5.957,0.298,5.9,
152,석성천2,2018.11.27,7.4,7.8,343,13.2,1.2,4.8,4.4,4.018,0.061,3,1.126
153,논산A1,2018.11.28,8.1,7.8,141,12.6,0.3,2,0.5,1.588,0.014,0.7,0.191
154,논산A2,2018.11.28,9.6,7.6,206,10.9,0.6,2.6,1.7,2.63,0.027,1.3,0.198
155,논산A3,2018.11.28,8.1,7.4,249,13.4,0.4,2,1.3,2.974,0.044,1.2,0.379
156,금본A,2018.11.29,5,8.1,209,14.6,0.5,2.7,1.2,3.339,0.024,1.6,3.349
157,금본B,2018.11.29,10.7,8,113,10.5,0.5,3.9,0.6,1.405,0.025,2.4,11.054
158,금본B1,2018.11.29,3.6,8.3,284,14.3,0.3,2,0.8,2.811,0.028,1.2,0.773
159,금본B2,2018.11.29,7.6,7.9,119,12.5,0.3,1.4,0.5,1.939,0.026,1,0.328
160,금본C,2018.11.29,8.1,8.2,127,12.6,0.6,3.7,1.5,1.488,0.025,2.1,5.361
161,금본C1,2018.11.29,5.5,8.1,163,14.1,0.7,2.2,0.5,2.351,0.03,1.4,2.475
162,금본D,2018.11.29,6.6,7.9,159,12.8,0.7,3.6,1.1,1.815,0.026,1.8,13.878
163,금본E,2018.11.29,6.3,7.9,179,13.5,1,3.4,0.6,1.889,0.027,1.9,15.484
164,금본F1,2018.11.29,6.3,7.5,99,13.5,0.3,1.3,0.2,1.943,0.024,0.9,0.086
165,금본F2,2018.11.29,6.4,8.3,337,14.1,0.5,1.7,1.2,4.932,0.029,1,1.299
166,보청A,2018.11.29,6.2,8.1,309,12,0.7,2.7,1.4,2.45,0.034,1.4,2.647
167,초강A,2018.11.29,5.5,8,210,13.6,0.7,3.1,0.7,2.074,0.027,1.6,1.521
168,초강A1,2018.11.29,4.1,8,143,12.2,0.3,2,0.3,1.414,0.027,1.4,0.208
169,논산A1,2018.12.03,8.9,8,146,12.4,0.3,1.7,0.3,2.006,0.018,0.7,0.131
170,논산A2,2018.12.03,10.7,7.9,220,10.9,0.9,3.1,4.6,3.45,0.05,1.6,0.316
171,논산A3,2018.12.03,10.5,7.7,235,12.3,1,3.6,4,3.459,0.122,2,0.538
172,금본A,2018.12.04,10.4,7.6,201,12,1.3,3.8,3.5,3.464,0.024,2.2,4.869
173,금본B,2018.12.04,12.8,7.4,115,9.5,0.5,4,1.4,1.658,0.026,2.4,11.571
174,금본B1,2018.12.04,11.3,7.6,198,10.7,5.4,9.2,41,2.979,0.083,7.2,5.395
175,금본B2,2018.12.04,11.5,7.6,111,10.8,0.6,2.2,0.9,2.157,0.02,1.3,0.502
176,금본C,2018.12.04,10.7,7.9,128,11.8,0.8,3,1.2,2.623,0.028,1.8,6.571
177,금본C1,2018.12.04,9.7,8,162,12.2,1.2,3,0.9,2.578,0.029,1.8,4.063
178,금본D,2018.12.04,9.8,7.4,155,12,0.8,3.8,2.3,2.15,0.027,2.2,19.831
179,금본E,2018.12.04,8.9,7.2,173,13.5,0.7,3.3,0.4,2.527,0.026,1.9,17.639
180,금본F1,2018.12.04,10.4,7.3,95,12.2,0.7,3.7,4.5,1.921,0.034,2.2,0.605
181,금본F2,2018.12.04,11.6,7.8,241,11.3,3.4,5.8,25,3.491,0.078,3.7,4.149
182,보청A,2018.12.04,10.5,7.8,286,13.2,1.1,3.5,7.3,2.516,0.031,2.1,7.272
183,초강A,2018.12.04,8.9,7.6,203,13,0.8,3,4.9,2.342,0.025,1.9,2.04
184,초강A1,2018.12.04,10.5,7.6,152,12.9,1,4,5.8,1.73,0.034,2.5,0.371
185,갑천A,2018.12.05,11.9,7.5,401,10.3,5.5,8.1,8.2,5.747,0.146,6.3,21.254
186,금본F,2018.12.05,13.4,7.4,145,9.5,0.6,4.3,2.9,1.626,0.033,2.8,12.775
187,금본G,2018.12.05,10.7,7.6,305,10,5.5,8.1,9.2,4.744,0.225,5.7,36.372
188,금본G-1,2018.12.05,10.8,7.4,296,12.3,5.1,7.1,7,4.568,0.163,5.2,30.826
189,금본G1,2018.12.05,6.8,7.8,217,12.1,1.5,5.8,44,2.536,0.069,3.6,0.197
190,금본G2,2018.12.05,9.3,7.9,631,11.3,7.3,12.9,49.6,3.176,0.081,9.3,0.476
191,무심A,2018.12.05,7.5,7.9,324,13.2,3,5.8,13.8,2.658,0.148,3.9,3.051
192,무심A1,2018.12.05,7.6,7.7,285,13,2.1,5.5,11.4,2.836,0.053,3.4,1.411
193,미호A,2018.12.05,7.9,7.6,420,11.8,9,11.6,30,6.482,0.48,10.1,7.787
194,미호A1,2018.12.05,6.4,8,468,12.9,7.5,11.4,17.3,4.951,0.083,7.2,1.001
195,미호A2,2018.12.05,5.8,7.4,413,13.3,2.4,6.6,8.2,5.159,0.086,4.3,0.807
196,미호B,2018.12.05,8.2,7.8,504,12.5,5.3,7.1,17.6,5.451,0.145,5.2,36.057
197,미호B1,2018.12.05,7.8,7.5,277,12.2,2.4,6.6,11.2,3.158,0.055,4.4,1.543
198,미호B2,2018.12.05,7.9,7.6,260,13.5,2.4,5.8,12.8,3.347,0.022,3.5,0.818
199,미호B3,2018.12.05,7.5,7.8,271,15.9,1.9,6.2,1.8,3.81,0.074,4.2,0.2
200,미호B4,2018.12.05,15.2,7.5,1488,9.3,6,7.9,11.2,9.867,0.037,6.3,1.791
201,미호C,2018.12.05,8.7,7.6,458,10.8,4.4,7,14.5,4.915,0.153,5.4,35.607
202,미호C1,2018.12.05,8.6,7.5,475,12.5,1.9,5,4.4,3.54,0.027,3.4,1.676
203,병천A,2018.12.05,6.2,7.4,346,11.5,3.8,7.4,5.8,4.423,0.229,5,2.648
204,유등A,2018.12.05,8.5,7.9,312,12.2,0.5,2.6,1.5,2.781,0.028,1.3,2.811
205,금본H,2018.12.06,8.7,7.6,445,12.6,2.7,5.6,12.8,4.449,0.05,3.7,63.683
206,금본H-1,2018.12.06,8.5,7.6,408,13,3.3,6.4,6.3,4.658,0.068,4.1,64.548
207,금본H1,2018.12.06,6.3,7.6,131,13.5,0.5,2,5.8,1.69,0.022,1.1,1.105
208,금본I,2018.12.06,9.8,7.6,437,14.1,2.1,6,9.4,4.767,0.034,4.1,73.271
209,금본J,2018.12.06,8.4,7.8,460,16.2,1.4,5.5,4.2,4.786,0.025,3.7,81.75
210,금본J1,2018.12.06,7,7.5,207,13.6,0.8,4.2,5.9,2.868,0.025,2.1,3.68
211,금본K,2018.12.06,8,7.7,407,13.2,2.1,6,12.8,4.156,0.041,4,101.951
212,금본K1,2018.12.06,5.7,7.7,274,13.6,1.1,4.3,2.6,3.848,0.059,2.7,0.6
213,금본L,2018.12.06,8.4,7.8,316,13.1,3.4,6.8,11,3.216,0.037,3.9,112.548
214,길산천2,2018.12.06,8.3,7.8,286,9.4,4.4,14.1,32.5,2.321,0.175,9.1,
215,논산A,2018.12.06,7.6,7.7,245,11.7,2.5,6.5,13,3.802,0.104,4.1,10.857
216,대교천2,2018.12.06,7.2,7.2,287,12.9,1.9,4,5.9,3.015,0.049,2.8,0.865
217,산북천,2018.12.06,6.1,7.7,331,10.9,7.4,17.9,31,3.875,0.265,10.2,
218,석성천2,2018.12.06,6.3,7.6,297,12.5,2.3,8.3,6.2,3.244,0.097,5.4,2.006
219,금본A,2018.12.10,0.8,7.8,205,14.6,0.4,2.4,0.7,3.545,0.02,1.3,3.689
220,금본B,2018.12.10,7.7,7.6,112,11.6,0.5,4,1.2,1.673,0.019,2.2,11.608
221,금본B1,2018.12.10,0.8,7.9,175,14.1,0.3,2.1,1.8,2.712,0.02,1.1,1.217
222,금본B2,2018.12.10,1.7,8,133,14,0.3,1.2,0.2,2.224,0.02,0.7,0.608
223,금본C,2018.12.10,2.7,7.9,131,13.8,0.4,3.7,1.5,1.732,0.02,2,6.571
224,금본C1,2018.12.10,0.9,8,134,14.7,0.3,1.9,0.4,2.201,0.02,1.2,2.94
225,금본D,2018.12.10,1.4,8.2,150,15.2,0.4,3.2,1.4,2.083,0.021,1.8,15.974
226,금본E,2018.12.10,1.4,8.2,169,15.1,0.5,3,0.8,2.373,0.023,1.7,17.639
227,금본F1,2018.12.10,2,7.7,87,13.7,0.3,1.3,0.2,2.12,0.018,0.8,0.185
228,금본F2,2018.12.10,2.7,8,327,14.1,0.4,1.4,1.7,4.87,0.026,0.9,1.563
229,보청A,2018.12.10,1.4,7.9,263,12.7,0.4,1.9,0.8,2.524,0.023,1.4,5.722
230,초강A,2018.12.10,1,8.2,181,15.1,0.5,3.2,1.2,2.219,0.025,1.1,2.445
231,초강A1,2018.12.10,0.2,7.8,147,12.8,0.3,1.7,0.6,1.886,0.021,1.1,0.164
232,갑천A,2018.12.11,7.9,7.6,610,12.2,2.7,6.9,2.6,8.794,0.05,5.1,14.227
233,금본F,2018.12.11,11.9,7.7,147,10.5,0.7,4.2,2,1.505,0.025,2.5,12.605
234,금본G,2018.12.11,5.9,7.8,335,9,1.2,5,3.1,4.92,0.042,3.4,28.723
235,금본G-1,2018.12.11,6.6,7.6,327,11.8,1.6,5.1,1.7,4.606,0.029,3.3,24.786
236,금본G1,2018.12.11,1.9,7.8,224,14,0.4,2.1,2.3,2.205,0.019,1.1,0.141
237,금본G2,2018.12.11,4.5,7.9,302,8.5,1.2,3.7,35.4,2.936,0.042,2,0.478
238,무심A,2018.12.11,3.4,7.7,317,13.7,0.7,3.9,7.7,2.832,0.042,2.7,2.596
239,무심A1,2018.12.11,3.9,7.8,305,14.8,0.7,2.9,3.5,2.755,0.064,1.6,0.927
240,미호A,2018.12.11,2.5,7.5,417,13.9,1.8,4.3,2.9,3.647,0.03,2.7,4.962
241,미호A1,2018.12.11,3.2,7.5,589,12.6,2.7,5.6,9,6.186,0.128,3.7,0.773
242,미호A2,2018.12.11,3.2,7.4,395,12.9,1.7,3.8,7,5.345,0.089,2.6,0.591
243,미호B,2018.12.11,4.6,7.6,610,13.4,3.1,6.6,7,6.708,0.055,4.4,18.881
244,미호B1,2018.12.11,3.7,7.5,310,12.5,0.9,2.9,4.1,3.114,0.077,1.9,1.096
245,미호B2,2018.12.11,2.9,7.4,262,13.6,1,3.3,8,3.093,0.071,2.1,0.553
246,미호B3,2018.12.11,2.9,7.6,295,14.6,0.7,3.6,1.1,4.139,0.067,2,0.164
247,미호B4,2018.12.11,13.7,7.3,1633,8.8,4.5,6.1,7,9.939,0.062,5.1,1.764
248,미호C,2018.12.11,4.3,7.6,591,12.7,1.5,5.6,2.7,6.048,0.043,3.9,21.913
249,미호C1,2018.12.11,4.8,7.5,488,13.6,1,3.8,3.3,4.286,0.056,2.3,1.299
250,병천A,2018.12.11,2.5,7.5,399,13.3,2.4,5.2,3.7,4.544,0.057,3.5,1.827
251,유등A,2018.12.11,3.2,7.7,290,14.1,0.5,1.8,0.6,2.816,0.024,0.7,1.347
252,금본H,2018.12.12,4.5,7.8,460,11.1,1.3,5.7,3,5.004,0.049,3.8,51.719
253,금본H-1,2018.12.12,4.2,7.8,457,12.4,1.3,5,2,5.352,0.042,3.4,52.505
254,금본H1,2018.12.12,2.1,7.6,184,14.1,0.5,2,12.7,1.982,0.039,1,0.685
255,금본I,2018.12.12,3.1,7.7,450,14.3,1,5,3.7,4.661,0.042,3.3,51.038
256,금본J,2018.12.12,4.1,7.7,391,12.6,1.9,5.5,4,4.113,0.05,3.7,56.087
