번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(㎛hos/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
1,갑천A,2008.12.02,12,7.5,679,10.1,2.9,8.5,5.7,20.242,0.56,5.75,7.589
2,갑천A,2008.12.09,9,7.3,541,10,3.5,7.6,4.8,19.195,0.553,5.42,5.853
3,갑천A,2008.12.16,9,7.3,542,8.6,3.1,7.7,3.8,20.414,0.485,5.14,6.687
4,갑천A,2009.01.06,6,7.3,566,11.6,5.4,10.1,5.2,22.728,0.617,6.2,7.1
5,갑천A,2009.01.13,5,7.5,595,12.3,5.1,9.3,4.3,21.491,0.536,6.3,5.59
6,갑천A,2009.02.03,10,7.3,588,8.6,5.7,9.7,7.8,23.45,0.477,6,6.723
7,갑천A,2009.02.10,10,7.4,580,10.3,6.4,11.2,9.4,22.385,0.619,6.7,5.667
8,갑천A,2009.02.17,6,7.2,535,10.5,6.5,11.2,6,23.557,0.484,7.5,6.972
9,갑천A,2009.02.24,10,7.4,555,10.2,6.6,10.3,7.4,23.983,0.571,7.1,6.27
10,갑천A,2009.03.03,10,7.5,596,10.8,6.1,11.9,12.4,23.747,0.379,7.8,11.067
11,갑천A,2009.03.10,11,7.5,527,10.6,6.1,9.3,8.7,23.586,0.395,6.2,5.281
12,갑천A,2009.03.17,12,7.5,583,10,6.1,10.1,9.6,21.581,0.379,6.5,5.803
13,갑천A,2009.03.24,13,7.7,409,10,6.2,9,16.6,16.753,0.305,6.1,10.339
14,갑천A,2009.03.31,14,7.6,570,10.9,6.9,9.9,8.2,18.431,0.485,7,9.232
15,갑천A,2009.04.07,15,7.7,505,10.8,8.3,13.2,8.2,16.981,0.559,8.1,5.094
16,갑천A,2009.04.14,18,7.6,658,10,10.5,15.6,14.3,12.959,0.483,8.3,4.948
17,갑천A,2009.04.21,16,7.5,555,7.2,12.2,13.9,11.2,7.921,0.577,8,7.978
18,갑천A,2009.04.28,17,7.7,600,12.9,6.5,13.2,12.8,9.858,0.869,7.9,5.725
19,갑천A,2009.05.12,22,7.4,492,10.5,7.1,16.2,18.8,9.494,1.01,7.9,19.828
20,갑천A,2009.05.19,20,7.3,399,8.5,5.6,10,17.9,7.794,0.707,5.4,14.649
21,갑천A,2009.05.26,23,7.5,422,8.2,2.6,8.1,11.5,9.064,0.656,5.2,8.889
22,갑천A,2009.06.02,23,8.1,577,11.1,5.2,11.2,16.4,7.733,0.796,6.7,6.658
23,갑천A,2009.06.09,19,7.6,525,8.4,4.3,11.9,19,9.212,0.733,6.7,7.184
24,갑천A,2009.06.16,26,8.3,627,10.7,6.6,14.7,19,11.79,0.542,6.8,5.237
25,갑천A,2009.06.23,26,7.5,419,7.6,5.2,10.2,10.6,9.052,0.405,5.1,7.564
26,갑천A,2009.06.30,27,7.2,326,6.3,4.6,11.4,12.7,8.734,0.511,6.7,8.941
27,갑천A,2009.07.07,24,7.2,378,5.9,7.1,38.5,682,20.328,0.761,5.9,203.372
28,갑천A,2009.07.14,22,7.3,197,8.1,4,6.4,38.2,9.942,0.252,2.6,81.605
29,갑천A,2009.07.21,25,7.5,124,7.1,4.1,9.8,266,7.593,0.338,4.1,124.859
30,갑천A,2009.08.11,27,7.6,465,8.2,3.9,8.6,11.8,6.786,0.352,5.2,7.026
31,갑천A,2009.08.18,27,7.7,420,7.7,3,7.2,10.2,6.03,0.328,4.5,11.769
32,갑천A,2009.08.25,26,7.9,379,11.8,3.3,8.1,15.6,6.963,0.341,4.9,12.409
33,갑천A,2009.09.08,26,7.5,470,7.8,4,8.8,7.9,7.333,0.365,5.2,8.677
34,갑천A,2009.09.15,23,7.6,475,7.3,3.8,8.2,7.6,5.618,0.505,5.3,6.924
35,갑천A,2009.09.22,23,7.6,528,8.9,3.5,10.2,12.4,7.226,0.611,5.6,7.158
36,갑천A,2009.10.06,21,8,469,11.4,4.5,9.7,20.2,10.949,0.61,6.1,7.744
37,갑천A,2009.10.13,19,7.7,471,9.2,3.7,7.9,8.5,11.663,0.474,5.2,7.285
38,갑천A,2009.10.20,17,7.5,546,10.3,3.5,8.2,8.5,9.393,0.426,5.4,7.44
39,갑천A,2009.10.27,19,7.7,563,9.7,3.7,8.4,11,8.529,0.51,5.4,7.051
40,갑천A,2009.11.03,12,7.7,488,8.8,2.9,8.6,4.6,8.38,0.376,5.4,5.46
41,갑천A,2009.11.10,17,7.6,363,7.9,2.8,7,26.3,10.306,0.337,3.8,11
42,갑천A,2009.11.17,10,7.5,529,10.9,2.5,7,3.5,8.81,0.478,4.4,7.328
43,갑천A,2009.12.01,11,7.4,566,10.4,3,7.6,5,10.31,0.496,5.8,6.427
44,갑천A,2009.12.15,8,7.6,504,10.6,3.3,7.3,3.3,10.4,0.403,4.8,8.038
45,갑천A,2009.12.22,7,7.4,545,11.6,4.4,9,4.7,10.321,0.557,5.1,6.766
46,갑천A,2010.01.12,6,7.4,583,12.3,6,9.6,4.5,10.886,0.73,6.5,7.13
47,갑천A,2010.01.19,7,7.5,597,12,6.4,8.9,5.7,10.38,0.698,6.9,6.237
48,갑천A,2010.01.26,6,7.2,586,10.9,7.1,9.8,5.5,9.314,0.506,7,6.793
49,갑천A,2010.02.02,7,7.3,578,11.6,7.6,9.9,5.3,10.436,0.506,6.7,6.647
50,갑천A,2010.02.17,6,7,468,9.7,7.4,8.2,5.6,11.077,0.422,5.9,9.995
51,갑천A,2010.02.23,9,7.4,535,10.6,7.8,9.5,9.7,11.007,0.394,6.7,7.295
52,갑천A,2010.03.09,7,7.5,443,11.1,7.1,7.9,9.8,8.298,0.407,5,15.06
53,갑천A,2010.03.16,9,7.6,331,10.4,7.8,8.7,15.2,9.46,0.322,3.9,20.826
54,갑천A,2010.03.23,10,6.9,458,10.5,7.2,8.5,10.8,8.668,0.45,3.6,11.731
55,갑천A,2010.03.30,11,7.7,516,10.3,7.8,10.1,12.9,12.85,0.317,6.9,8.803
56,갑천A,2010.04.06,14,7.8,425,9.8,7.1,8.7,13.4,7.936,0.382,5.2,20.366
57,갑천A,2010.04.13,14,7.5,515,9.7,7.6,9.6,9.9,10.829,0.264,8.6,12.7
58,갑천A,2010.04.20,16,6.9,514,9.6,7.4,11.1,6.8,11.649,0.293,7.4,9.053
59,갑천A,2010.04.27,15,7.9,403,8.2,10.7,10.8,28.4,11.814,0.508,7.3,22.262
60,갑천A,2010.05.04,21,7.6,468,10.4,4.3,9.5,11.9,8.506,0.315,5.7,13.357
61,갑천A,2010.05.11,19,7.8,415,8.9,5.1,10.6,16.4,8.707,0.267,5.1,8.464
62,갑천A,2010.05.18,21,7.2,367,5.5,7.2,19.6,123,11.558,1.025,5.9,90.402
63,갑천A,2010.05.25,17,7.8,335,9.3,3.6,7.6,26.1,9.002,0.456,3.6,62.369
64,갑천A,2010.06.08,24,8.1,496,8.6,6.7,12,21.8,8.539,0.386,3.7,11.18
65,갑천A,2010.06.15,25,7.5,453,6.2,7.5,11.4,18.7,9.194,0.48,4.4,12.089
66,갑천A,2010.06.22,26,7.7,543,6.9,4.6,12,20.5,8.884,0.601,2.8,9.776
67,갑천A,2010.06.29,28,7.5,502,7.6,3,9.2,9.5,7.243,0.513,6.1,7.086
68,갑천A,2010.07.06,27,7.5,443,8.9,2.8,8.2,17.2,9.411,0.596,5,10.953
69,갑천A,2010.07.13,27,7.5,287,8.1,2.4,7.2,17.5,6.37,0.602,4,17.982
70,갑천A,2010.07.27,29,7.4,393,6.6,1.8,6.8,23.6,6.992,0.805,4.2,19.034
71,갑천A,2010.08.03,29,7.6,432,8.4,2.6,7.6,6.8,8.271,0.43,4.2,11.271
72,갑천A,2010.08.10,29,7.7,378,9.3,4.6,8.3,12.6,9.734,0.522,4.3,50.267
73,갑천A,2010.08.17,23,7.9,225,8.1,1.3,5.1,27.3,3.646,0.235,2.8,107.471
74,갑천A,2010.08.24,28,7.4,363,8.2,2.1,6.8,6.2,5.461,0.229,3.7,19.66
75,갑천A,2010.09.07,25,7.4,307,7.5,2,6.6,20,3.499,0.277,3.6,40.09
76,갑천A,2010.09.28,22,7.7,446,10.2,2,9.4,5.6,8.341,0.44,6.4,12.216
77,갑천A,2010.10.05,20,7.8,389,8.9,2.7,8.2,4.1,8.99,0.319,5,11.695
78,갑천A,2010.10.12,22,7.6,497,6.4,3.1,10.3,5.6,7.98,0.321,6.1,12.041
79,갑천A,2010.10.19,19,7.7,419,10,2.9,7.2,4.8,7.858,0.308,4.6,14.46
80,갑천A,2010.10.26,14,7.8,518,10.5,2,7.6,5.1,10.144,0.389,5.8,8.176
81,갑천A,2010.11.02,16,7.5,494,10.5,2.7,7.6,5.3,10.968,0.461,6.2,8.227
82,갑천A,2010.11.09,13,7.6,544,8.9,2.5,8,4.1,9.467,0.322,7.4,8.182
83,갑천A,2010.11.16,12,7.5,552,11,2.5,8,2.8,9.738,0.283,7.1,7.991
84,갑천A,2010.11.23,11,7.9,620,16.6,3.8,8.7,4.4,9.577,0.286,8.5,7.07
85,갑천A,2010.12.07,10,7.5,550,10.7,4.7,8.9,6.3,10.62,0.294,5.6,6.844
86,갑천A,2010.12.21,9,7.5,578,8.8,5.6,10.7,7.6,11.279,0.513,7.3,8.171
87,갑천A,2011.01.18,4,7.3,609,11.4,8.7,12.1,7.8,14.233,0.857,8.7,7.359
88,갑천A,2011.01.25,5,7.4,679,12.6,7.3,11.3,7.1,11.476,0.516,8,6.035
89,갑천A,2011.02.08,8,7.4,594,9.4,10.4,13.1,14,17.36,1.146,7.5,7.389
90,갑천A,2011.02.15,7,7.5,617,11.5,10.8,12.1,8.9,17.957,0.731,8.5,6.185
91,갑천A,2011.02.22,10,7.6,600,11.7,11.7,12.6,9.8,17.574,0.649,8.1,6.724
92,갑천A,2011.03.08,10,7.5,609,9.3,9.6,13.4,9.5,14.13,0.426,7.7,7.552
93,갑천A,2011.03.15,12,7.6,601,11.2,9.4,12.1,10.6,15.653,0.325,7.2,6.859
94,갑천A,2011.03.22,11,7.5,509,10.3,9.5,11.5,10.8,12.982,0.359,7.3,6.94
95,갑천A,2011.03.29,12,7.4,488,9.1,7,11.1,7.9,13.046,0.356,6.7,6.234
96,갑천A,2011.04.05,14,7.5,595,8.7,7.4,13.4,11,16.278,0.414,7.7,5.32
97,갑천A,2011.04.12,14,7.6,497,9.2,7.8,10,9.7,12.569,0.293,7.2,7.646
98,갑천A,2011.04.19,14,7.5,563,9.5,8.7,10.9,15.2,14.688,0.25,7.9,6.281
99,갑천A,2011.04.26,14,7.5,564,7.4,10.7,11.1,12.7,15.158,0.38,8,9.45
100,갑천A,2011.05.03,19,7.5,356,8,6.3,8.8,9.3,7.961,0.332,6.1,15.497
101,갑천A,2011.05.11,17,8.2,186,9.1,12.9,15.7,206.7,6.627,0.525,6.9,231.39
102,갑천A,2011.05.18,21,7.4,616,7.4,6.6,9.4,12.7,9.937,0.381,8.9,13.985
103,갑천A,2011.05.24,20,7.5,491,7.5,7.7,10.1,15,8.823,0.379,7.7,10.254
104,갑천A,2011.05.31,22,8,494,6.1,9.9,12.2,18.4,9.968,0.314,9.5,8.602
105,갑천A,2011.06.08,21,7.8,426,7,8.7,15.3,17.3,8.621,0.46,12.2,5.847
106,갑천A,2011.06.14,24,7.3,558,5.3,7.2,12.9,11,10.073,0.509,11.4,6.701
107,갑천A,2011.06.21,26,7.5,715,7,5.9,15,16.2,10.71,0.614,11.4,6.902
108,갑천A,2011.06.28,23,7.5,432,8.7,2.2,7.5,13.6,7.727,0.343,6,70.246
109,갑천A,2011.07.05,24,7.4,243,9.1,1.5,5.8,18.8,3.892,0.245,3.7,45.7
110,갑천A,2011.07.19,27,7.6,320,7.7,0.8,6.1,12,5.401,0.233,4.3,26.868
111,갑천A,2011.07.26,25,7.6,362,8.4,2,7.4,17.6,4.294,0.274,5,77.845
112,갑천A,2011.08.02,25,7.6,313,7,3.3,10.4,31,5.169,0.399,6.8,95.497
113,갑천A,2011.08.17,25,7.4,239,7.6,3,6.6,70,3.501,0.243,3.5,98.926
114,갑천A,2011.08.23,23,7.3,267,9,1.3,4.4,5.8,4.043,0.144,2.9,37.863
115,갑천A,2011.08.30,26,7.7,451,8.7,3.2,8.8,8.1,7.023,0.194,6.3,16.606
116,갑천A,2011.09.20,22.6,7.7,461,9.4,2.3,8,7.2,8.287,0.285,5.4,11.608
117,갑천A,2011.09.27,22,7.8,470,10.2,5.2,9.3,14.2,8.971,0.324,6.3,10.034
118,갑천A,2011.10.05,20.2,6.6,519,8.5,2.8,7.7,6.5,9.103,0.31,6.6,9.422
119,갑천A,2011.10.11,17.9,7.6,505,8.2,3.8,8.5,7.4,10.822,0.33,6.6,8.018
120,갑천A,2011.10.19,17.9,7.6,505,8.2,2.4,10.5,5.6,11.4,0.529,8.9,4.152
121,갑천A,2011.10.25,17.9,7.6,505,8.2,3.1,7.6,7.8,10.021,0.286,6.9,8.405
122,갑천A,2011.11.01,18.2,7.5,523,9.8,2.8,10,7,10.156,0.349,7.2,9.194
123,갑천A,2011.11.08,17.3,7.7,461,7.5,3.1,8.7,12,8.067,0.248,7.6,8.184
124,갑천A,2011.11.15,14.5,7.5,548,11.7,1.9,7.4,3.4,8.752,0.255,7.3,7.769
125,갑천A,2011.11.22,12.4,7.2,684,10,3.5,9.2,5.5,10.691,0.28,8.2,7.314
126,갑천A,2011.11.29,15,7.3,616,8.8,4.1,8.6,5.9,10.483,0.272,7.2,8.367
127,갑천A,2011.12.06,8.7,7.7,488,11,5.6,9.2,5.8,10.782,0.336,7.7,14.683
128,갑천A,2011.12.13,10.7,7.5,627,11.8,3.5,10.4,5,11.509,0.471,9.9,9.501
129,갑천A,2012.01.05,6.7,7.5,678,10.7,8.8,11.3,5.2,14.17,0.252,10,
130,갑천A,2012.01.10,6.2,7.3,652,13.3,9.6,12.2,7.4,12.398,0.485,11.3,7.217
131,갑천A,2012.01.18,4.1,6.7,631,10.6,7.1,12.1,6.3,17.225,0.247,13.4,
132,갑천A,2012.01.26,4.1,7.3,623,11.2,8.7,12.4,5.7,19.733,0.411,14.4,
133,갑천A,2012.01.31,6.1,7.5,602,13.5,6.9,11.7,6.9,17.016,0.305,6.4,8.756
134,갑천A,2012.02.07,7.6,7.6,644,9.5,5.7,11.2,8.5,15.783,0.304,8.1,8.986
135,갑천A,2012.02.14,9.4,7.1,660,12.1,5.8,11.2,9.3,16.784,0.242,8.1,8.8
136,갑천A,2012.02.21,8.4,7.5,623,11.9,6.5,15.3,8.9,18.827,0.152,9.4,8.032
137,갑천A,2012.02.28,8.8,7.7,604,13.9,5.8,13.9,11.5,16.999,0.162,8.5,7.447
138,갑천A,2012.03.06,10,7.5,652,7.9,6.9,16.6,16,15.225,0.453,10.6,16.737
139,갑천A,2012.03.13,11,7.6,611,11,5.7,11.3,5.7,15.673,0.199,7.9,7.682
140,갑천A,2012.03.20,12.6,7.6,660,8.9,7,15.5,8.7,20.505,0.281,9.9,7.773
141,갑천A,2012.03.27,10.6,7.4,611,10.6,5.8,9,7.9,11.438,0.135,5.8,
142,갑천A,2012.04.03,12.2,7.7,355,12.1,7.3,7.9,12.1,9.179,0.12,5,39.095
143,갑천A,2012.04.10,14.5,7.4,554,7.6,6.9,10.3,7.3,12.35,0.133,6.5,8.13
144,갑천A,2012.04.17,18.1,7.5,568,9.5,6.8,13.6,7.8,13.809,0.208,9.6,4.576
145,갑천A,2012.04.24,18.4,7.2,372,9.6,4.9,10.8,10,8.79,0.176,6,20.461
146,갑천A,2012.05.02,14.6,7.3,427,7.5,7,10.2,13.3,9.17,0.182,6.8,
147,갑천A,2012.05.08,17.3,7.5,475,10.2,8.6,14.3,11.1,11.368,0.215,9,7.952
148,갑천A,2012.05.14,17.6,7.4,452,8.7,7,14,19.8,7.198,0.286,9.1,31.194
149,갑천A,2012.05.23,23.8,7.4,657,14.4,5.8,17.5,16.4,12.541,0.378,18.6,6.323
150,갑천A,2012.05.30,20.2,7.2,580,7.3,5.8,13.5,19.8,10.688,0.46,16.4,10.912
151,갑천A,2012.06.05,24.6,7.5,645,11.5,6.4,14.4,6.9,9.052,0.311,9.5,
152,갑천A,2012.06.11,25.4,7.6,700,7.9,7,15.4,22.3,11.755,0.435,8.8,32.361
153,갑천A,2012.06.20,27.9,7.6,801,9,5.2,18.2,13.2,10.6,0.247,9.3,4.584
154,갑천A,2012.06.26,23.8,7.4,555,7.9,4.6,13.3,13.2,8.409,0.233,7.4,5.492
155,갑천A,2012.07.03,26.6,7.4,556,8.4,5.2,14.8,13.7,8.094,0.194,7.8,4.323
156,갑천A,2012.07.09,26.8,7.2,546,8.1,3,11.4,22.2,9.565,0.27,7.7,30.056
157,갑천A,2012.07.18,24.6,7.6,551,7.3,3.1,11.7,31.4,8.277,0.134,8.1,27.752
158,갑천A,2012.07.24,27.9,7.4,531,7.6,2.5,10.3,6.6,7.618,0.102,3.6,11.498
159,갑천A,2012.07.31,30.9,7.1,602,9.2,3,11.2,6.3,7.693,0.117,7.7,
160,갑천A,2012.08.06,30.7,7.8,553,10.7,3.7,14.2,9.4,7.015,0.14,6.9,5.767
161,갑천A,2012.08.14,23.9,8.1,161,8.8,1.7,6.2,25.1,3.505,0.128,3.6,
162,갑천A,2012.08.22,24.6,7.7,200,8.8,1.3,5.7,6.3,2.931,0.167,4.2,140.214
163,갑천A,2012.08.27,25,7,217,8.2,1.6,5.6,8.9,3.711,0.064,4.7,49.078
164,갑천A,2012.09.03,25.4,7.6,253,9.4,1.5,4.5,4.9,4.169,0.076,6.3,44.21
165,갑천A,2012.09.11,23.2,7.5,294,8.4,1.1,5.6,5.5,5.102,0.094,3.6,38.462
166,갑천A,2012.09.20,21.9,7.7,369,10.3,0.9,6.5,4.2,4.671,0.105,3.8,47.604
167,갑천A,2012.09.25,23,7.7,356,11.6,1.2,7.5,3.4,5.536,0.069,3.7,25.728
168,갑천A,2012.10.04,22.1,7.7,453,9.4,1.7,8.6,4.6,7.129,0.135,4.3,
169,갑천A,2012.10.08,22.3,7.8,489,10.7,2.1,8,5,7.472,0.088,4.3,20.654
170,갑천A,2012.10.16,19.9,7.6,487,9.9,1.9,6.7,6.7,7.974,0.078,4.3,14.257
171,갑천A,2012.10.22,18.3,7.3,477,8,2.6,12.5,17.6,6.605,0.119,5.1,90.414
172,갑천A,2012.10.31,16.8,7.6,495,11.3,1.4,8.1,16,6.718,0.109,4.5,25.789
173,갑천A,2012.11.06,15.6,7.5,522,9.2,2.7,8.4,13.1,8.675,0.192,4.8,25.202
174,갑천A,2012.11.14,13.4,7.3,482,9.5,2.9,7.7,15.3,7.173,0.277,6.1,26.324
175,갑천A,2012.11.19,11.7,7.2,458,10.4,2.8,8.7,6,7.257,0.16,6.8,21.707
176,갑천A,2012.11.26,11.8,7.4,608,10.3,2.4,9.3,4.3,8.814,0.13,6.1,27.982
177,갑천A,2012.12.05,8.8,7.5,545,11.5,2.7,8.8,9.1,9.059,0.138,5.5,15.392
178,갑천A,2012.12.10,7.3,7.4,689,12.4,3.5,10.3,4.4,9.655,0.116,6,16.082
179,갑천A,2012.12.20,7.9,7.1,551,11.1,3.2,11.2,4.6,10.015,0.092,7,
180,갑천A,2012.12.26,5.1,7.3,584,13,2.7,10.1,2.9,9.736,0.081,5.6,
181,갑천A,2013.01.08,6,7.3,642,11,3.4,9.9,3.2,11.11,0.146,6.4,
182,갑천A,2013.01.15,8.4,7.3,765,10,4.7,11.2,7.8,14.997,0.13,8.2,13.235
183,갑천A,2013.01.21,7.1,7.3,552,10.2,6.3,14.3,59.5,9.238,0.242,10.7,64.669
184,갑천A,2013.01.30,8.7,7.3,467,11.9,4.3,9.8,7.7,8.952,0.096,9.3,16.009
185,갑천A,2013.02.05,5.2,7.3,532,11.6,3.7,6.9,8.3,6.557,0.073,6.7,27.78
186,갑천A,2013.02.13,6.7,7.3,578,11.7,5,11.8,7.6,10.979,0.107,11.5,
187,갑천A,2013.02.19,9.4,7.4,617,11.9,5.6,13.6,8.7,10.84,0.143,13.6,14.231
188,갑천A,2013.02.25,7.7,7.3,478,11.3,4.8,11,7.8,9.726,0.135,10.6,10.669
189,갑천A,2013.03.04,9.4,7.4,560,11,4.9,11.7,8.7,11.752,0.127,11.6,7.945
190,갑천A,2013.03.13,12.4,7.2,603,7.1,7.4,17.1,29.5,14.324,0.478,13.6,27.152
191,갑천A,2013.03.19,11.5,7.1,362,10.3,5.1,8.9,24,5.234,0.141,6.8,29.827
192,갑천A,2013.03.25,11.4,7,460,9.2,5.2,9.9,2.7,10.635,0.126,9.8,11.11
193,갑천A,2013.04.03,14,7.2,669,9.5,5.2,12.2,6.6,10.707,0.127,11.8,8.457
194,갑천A,2013.04.09,13.6,7.3,589,8.9,6.1,14.8,9.5,9.673,0.173,13.2,7.856
195,갑천A,2013.04.15,12.4,7.3,544,9.5,5.2,11.6,7.2,8.635,0.121,11.4,6.95
196,갑천A,2013.04.23,14.9,7.3,536,8.1,6.8,15,5.3,9.23,0.211,12.4,8.909
197,갑천A,2013.04.30,16.4,7,426,8.9,5.7,9.9,13.7,6.047,0.167,8.6,21.543
198,갑천A,2013.05.06,18.6,7.5,570,8.4,6.9,12,10,6.853,0.134,11.6,8.215
199,갑천A,2013.05.14,21.3,7.2,485,8.9,7.2,14.7,9.5,7.529,0.161,13.2,9.233
200,갑천A,2013.05.20,19.7,7.1,445,6.9,7.4,13.7,16.4,6.075,0.196,11.4,9.775
201,갑천A,2013.05.29,20.4,7.1,398,6.7,6.9,11.5,15.8,4.602,0.118,9.8,18.994
202,갑천A,2013.06.03,22.9,7.3,404,8.8,6.7,12.2,9.3,5.466,0.099,10.6,9.809
203,갑천A,2013.06.11,24.8,7.4,568,6.8,5.9,12.4,8.6,6.976,0.147,11.4,6.959
204,갑천A,2013.06.17,25.7,7.6,581,8.4,7,13.5,11.1,7.856,0.144,11.9,8.014
205,갑천A,2013.06.26,23.8,7.4,395,6.6,6.7,15.4,105.5,4.129,0.144,9.5,49.489
206,갑천A,2013.07.01,27.3,7.5,543,9.3,3.9,10.5,7.2,6.768,0.096,9.9,15.05
207,갑천A,2013.07.10,27.1,7.5,421,7.9,2.9,6.7,7.3,5.021,0.073,6.1,16.665
208,갑천A,2013.07.16,28,7.5,474,7.8,3,9.8,7.5,6.271,0.092,9.1,13.082
209,갑천A,2013.07.22,28.9,7.5,631,6.5,4.8,11,7.4,7.852,0.122,10.1,11.986
210,갑천A,2013.07.31,27.4,7.4,202,7.2,3.6,6.9,65.6,2.246,0.154,4.6,
211,갑천A,2013.08.07,27.6,7.5,386,6.4,3.1,6.3,22.8,4.516,0.157,5.9,35.659
212,갑천A,2013.08.13,31.3,8.2,492,11.6,3.6,9,7.6,5.995,0.103,7.4,
213,갑천A,2013.08.20,29.2,7.4,501,8.9,3.2,8.6,8,5.736,0.119,8.2,10.642
214,갑천A,2013.08.26,27.7,7.3,484,6.5,2.9,7,6.1,5.861,0.114,6.3,17.425
215,갑천A,2013.09.04,25.8,7.5,573,8.1,2.9,9.6,10,9.342,0.12,7.8,8.99
216,갑천A,2013.09.10,26.2,7.6,610,9.4,2.9,11.1,7.3,8.752,0.141,8.2,10.79
217,갑천A,2013.09.16,24,7.2,401,7.2,2.3,7.5,14.2,5.299,0.143,4.9,
218,갑천A,2013.09.23,26.7,8.4,495,10.3,3.4,9.8,9.7,8.343,0.216,6.9,13.778
219,갑천A,2013.09.30,21.1,7.3,223,7.4,2.9,6.8,12.1,4.099,0.127,4,
220,갑천A,2013.10.08,23.8,7.7,579,7.7,2.9,8.4,13.2,6.327,0.135,7.5,16.518
221,갑천A,2013.10.16,20.1,7.6,618,11,2.8,8.1,4,8.097,0.126,5.9,13.971
222,갑천A,2013.10.22,21.2,7.6,622,10.6,2.9,9.4,6.2,9.731,0.115,5.6,12.695
223,갑천A,2013.10.28,19,7.7,583,9.7,2.7,8.9,5.4,8.087,0.146,7.2,11.999
224,갑천A,2013.11.06,17.8,7.3,662,7.9,3.3,9.2,6,9.987,0.187,7.4,10.085
225,갑천A,2013.11.12,15.2,7.5,620,9,3.3,9.4,10,9.704,0.124,8.3,11.592
226,갑천A,2013.11.18,13.3,7.6,748,10.6,3.1,7.6,6.4,9.077,0.124,7.6,11.456
227,갑천A,2013.11.27,11.2,7.3,594,9.5,5.3,10.7,17.8,8.203,0.218,8.3,30.37
228,금본A,2008.12.01,5,7.8,251,14.6,1.1,2.4,0.6,7.012,0.006,1.83,0.883
229,금본A,2008.12.08,2,7.9,243,12.8,1.3,2.3,0.8,6.663,0.012,2.33,0.595
230,금본A,2008.12.15,2,7.9,233,14.1,1.1,2.4,1.2,6.762,0.011,1.5,0.905
231,금본A,2009.01.05,0,7.7,224,15.5,0.9,2.1,1.8,7.062,0.039,1.5,0.698
232,금본A,2009.01.12,0,7.8,231,9.5,0.8,2,1.6,6.63,0.033,1.5,0.978
233,금본A,2009.02.02,1,7.2,236,15.8,0.8,2.4,0.6,7.25,0.012,1.7,0.829
234,금본A,2009.02.09,6,8.2,219,13.4,0.8,3.1,1.3,7.558,0.006,2,1.065
235,금본A,2009.02.16,3,6.4,195,14.9,0.9,3.5,1.6,6.678,0.015,2.2,1.436
236,금본A,2009.02.23,4,8,289,15.7,1,3.1,2.5,6.886,0.012,2.1,2.123
237,금본A,2009.03.02,6,7.8,201,15.2,1.1,3.4,1.6,7.61,0.011,2,1.371
238,금본A,2009.03.09,7,8.1,210,14.7,1,3,1.9,7.6,0.01,2.1,1.437
239,금본A,2009.03.16,9,7.7,219,13.2,0.8,3,4.3,7.544,0.014,2.1,0.778
240,금본A,2009.03.23,10,7.7,209,12.2,0.9,4.1,6.2,6.068,0.019,2.7,2.222
241,금본A,2009.03.30,10,7.7,202,12.5,0.8,3,3.7,7.021,0.019,2.3,0.737
242,금본A,2009.04.06,14,8.3,180,11.8,1.4,4,3.2,4.684,0.023,2.6,0.693
243,금본A,2009.04.13,18,8.3,230,12.1,1.6,4.6,6.1,4.483,0.026,3.1,0.284
244,금본A,2009.04.20,16,8,232,10.8,1.6,4.4,5.2,3.871,0.032,2.8,0.42
245,금본A,2009.04.27,15,7,205,12.9,0.9,3.2,2.9,2.262,0.016,2.3,0.688
246,금본A,2009.05.11,28,8.5,191,12.3,1.2,4.9,7,2.315,0.03,3.4,0.379
247,금본A,2009.05.18,17,7.9,182,12.3,1.4,5.5,13.5,4.756,0.095,2.7,4.167
248,금본A,2009.05.25,20,7.4,172,10.1,1,3.8,12,5.77,0.067,2.5,3.605
249,금본A,2009.06.01,21,7.9,202,12.3,1.1,3.9,3.5,3.355,0.03,2.7,1.263
250,금본A,2009.06.08,22,8.5,154,10.6,1.1,5,5.9,3.747,0.031,3.8,2.803
251,금본A,2009.06.15,26,8.9,205,13.1,0.9,4,3.8,2.182,0.026,3.3,0.937
252,금본A,2009.06.22,21,7.4,156,8.5,4.2,17.5,77.5,1.704,0.329,5.3,26.31
253,금본A,2009.06.29,24,7.7,169,8.2,2.2,9.5,96.5,5.327,0.087,4.2,10.177
254,금본A,2009.07.06,26,8.5,175,10.5,0.8,4.4,6.6,2.619,0.031,3,2.644
255,금본A,2009.07.13,20,7.4,96,12.2,0.9,8.6,15.8,4.631,0.073,3.9,30.543
256,금본A,2009.07.20,21,7.4,104,9.3,0.8,3.4,17.4,3.659,0.034,2.6,47.987
257,금본A,2009.08.10,26,8.1,171,10.8,1.2,4.1,5.8,2.588,0.049,2.5,4.139
258,금본A,2009.08.17,25,8.4,157,10.6,1.2,3.3,4.4,3.553,0.035,2,3.635
259,금본A,2009.08.24,26,8.6,162,10.3,1,3,3.8,2.557,0.028,2.1,2.894
